Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
The Five Most Common Sharpening Mistakes and Their Solution,"John Mignone is a classical musician, a tree propagator, and a professional woodcarver.","Mignone, John",,,1,Christmas,1997,14-19,Sharpening,Tools,Safety,Knives,,
Carving Santa and Rudolph,Carving the piece featured on this issue's cover.,"Sabol, David",,,1,Christmas,1997,22-28,Santas,Holidays,Pattern Profile,"Projects, Step by Step",,
How-To Carve and Paint a Shorebird Stick Decoy,Elmer Crowell-Style Golden Plover,"Poeschel, Dennis",,,1,Christmas,1997,29-36,Decoys,Birds,Pattern Profile,"Projects, Step by Step",,
Carving House Sign Numbers with Greg Krockta,Carving a custom name tag.,"Schroeder, Roger",,,1,Christmas,1997,40-45,Book Excerpts,Signs,Home Decor,,,
What's in a Name?,Carving Your Own Custom Name Tag,"Hull, Joel",,,1,Christmas,1997,48-53,Name Tags,Custom,Technique,,,
Jim Hazeley's Snowy Owl,"Before you begin, know your bird.","Stellhorn, Ayleen",,,1,Christmas,1997,54-55,Birds,Owls,Avian,,,
The 1998 World Woodcarving Club Championship,Some photographs of the winners.,WCI Staff,,,1,Christmas,1997,57,Championships,Winners,Carving Club,,,
Relief Carving: Row Boat,"World-Class Carver, David Bennett, explians basic principles with a handsome small project.","Bennett, David",,,1,Christmas,1997,58-62,Relief Carving,Boat,Artist Profile,,,
Bob Hand on Carving &amp; Painting a Striped Bass,"10"" is the size that Bob Hand has found popular with buyers - ""shelf size"" as he calls it.","Schroeder, Roger",,,1,Christmas,1997,64-67,Fish,Bass,Fishing,,,
Ozarks Meeting Place,Exploring Carving in Branson,"Giagnocavo, Alan",,,1,Christmas,1997,68-70,Travel Tips,Midwest,Adventure,,,
Carving the Caricature Carvers of America Circus,We catch up with the Caricature Carvers of America.,WCI Staff,,,1,Christmas,1997,71,Book Excerpts,Circus,CCA,,,
Going to the Dogs,The perfect beginner project plus detailed pattern!,"Guldan, Mary Duke",,,1,Christmas,1997,7/11/2007,Book Excerpts,Animals,Dogs,,,
Promoting Carving with the Caricature Carvers of America,CCA book excerpts.,WCI Staff,,,1,Christmas,1997,73-74,CCA,Book Excerpt,Artist Profile,,,
Power Texturing Wood Carvings - Part 1,Texturing fur &amp; hair.,"Russell, Frank",,,1,Christmas,1997,75-82,Textures,Fur,Hair,,,
Color Theory for Woodcarvers,"Desiree Hajny is a wildlife artist and cartoonist from Eckert, Colorado.","Hajny, Desiree",,,1,Christmas,1997,84-87,Animals,Lion,Painting Techniques,,,
Harold Enlow,A 25 year tour with your favorite caricature carver.,"Stellhorn, Ayleen",,,1,Christmas,1997,89-93,People,Caricatures,Artist Profile,,,
Hanging Spiral Santa Ornament,Pattern for a unique spiral Santa ornament!,"Oar, Ross",,,1,Christmas,1997,94-95,Santas,Holidays,Ornaments,,,
The Ward World Championship,The World at a glance.,WCI Staff,,,2,Winter/Spring,1998,16-19,Championships,Winners,Ward World,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carousel Art: The Empire State Carousel,Roger Schroder visits this ambitious project.,"Schroeder, Roger",,,2,Winter/Spring,1998,20-23,Carousel Animals,NYC,Animals,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Cardinal Carving - Part 1 - Carving the Bird,Carve the gorgeous bird featured on our cover.,"Doherty, Paul",,,2,Winter/Spring,1998,24-35,Birds,Step-by-step,Cardinal,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carving the Uncommon Bottlestopper,A Terrific project to every carver.,"Stellhorn, Ayleen",,,2,Winter/Spring,1998,36-39,Miscellaneous,Bottlestoppers,Caricatures,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Cutting Corners,Have a knife and a gouge? You're ready to carve this caricature!,"Hull, Joel",,,2,Winter/Spring,1998,40-45,People,Hunter,Caricatures,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
